Step,Value
18,-119.0556
24,-103.5831
40,-108.22485
42,-80.7023670117591
45,-56.062101287065
56,-65.4559511583585
71,-73.9104160425227
74,-81.5194344382704
94,-88.3675509944433
106,-94.530855894999
126,-68.3777723172583
155,-76.5400550855324
158,-83.8861095769792
167,-90.4975586192813
183,-96.4478627573531
185,-70.103078493377
229,-78.0928306440393
234,-85.2836075796353
249,-91.7553068216718
255,-97.5798361395046
260,-102.821912525554
267,-107.539781272999
273,-111.785863145699
308,-83.9072788428881
310,-90.5166109585993
318,-96.4650098627394
339,-101.818568876465
347,-74.936714000578
367,-82.4431026005202
421,-89.1988523404682
422,-95.2790271064214
439,-100.751184395779
442,-105.676125956201
445,-110.108573360581
460,-82.391529012764
463,-89.1524361114876
464,-95.2372525003388
474,-69.1434982267868
493,-77.2292084041081
514,-52.8062895754564
531,-30.8256626296698
536,-42.7431563667029
563,-21.7688427417917
573,-34.5920184676125
579,-46.1328766208513
586,-56.5196489587662
587,-34.2976550393714
620,-45.8679495354343
622,-56.2812145818909
634,-65.6531531237018
641,-74.0878978113316
642,-49.9791100419575
644,-59.9812590377618
647,-37.2769461222265
649,-48.5493115100038
661,-58.6944403590035
671,-67.8250563231031
714,-44.3425527025519
722,-54.9083574322967
730,-64.4175816890671
739,-41.4057944966422
752,-52.265275046978
756,-62.0388075422802
765,-70.8349867880522
769,-47.1814590857288
771,-57.4633731771559
773,-66.7170958594403
780,-43.3391992617372
785,-22.4352503120453
787,-3.4917272925999
792,13.557443424901
794,-2.79836091758912
798,-17.5185848258302
802,-30.7667863432472
808,-42.6901677089225
809,-53.4212109380302
832,-63.0791498442272
836,-40.0712368715636
869,-19.4940841608891
876,-0.974646721281971
882,15.8228159390871
896,-0.759525654821573
900,-15.6836330893394
907,2.58472820783541
909,-12.6738046129481
917,-26.4064841516533
931,-7.0596487247289
932,-21.353743852256
942,-2.64834044351221
945,-17.383566399161
954,1.06097725251419
962,17.6548775155037
971,0.889329763953327
972,-14.199663212442
978,-27.7797568911978
979,-40.001841202078
984,-51.0017170818702
1002,-29.331516350165
1005,-9.69836672690764
1014,-23.7285900542169
1044,-36.3557910487952
1057,-16.0140249321566
1063,-29.4126824389409
1066,-9.90138517152866
1068,7.78875133386509
1072,-7.99018379952139
1078,9.50883256867164
1083,25.2641363235636
1093,7.73766269120719
1099,23.6700834338456
1104,6.30301509046103
1114,-9.32734641858505
1156,8.30538621151433
1160,24.181034602122
1161,6.76287114190978
1162,22.7865820159597
1180,37.0779528378819
1193,50.0763445658528
1206,30.0686501092675
1232,43.7679721100999
1244,56.0911728873308
1255,35.4819955985977
1258,16.9337360387379
1261,0.240302434864162
1281,-14.7837878086223
1287,-28.30546902776
1294,-40.474982124984
1300,-51.4275439124856
1316,-61.284849521237
1319,-70.1564245691133
1330,-78.140842112202
1333,-85.3268179009818
1336,-60.0941381226428
1337,-69.0847843103785
1385,-45.4763078910998
1388,-55.9287371019898
1391,-65.3359233917908
1392,-73.8023910526117
1414,-81.4222119473505
1426,-56.5799927643746
1436,-65.9220534879372
1440,-42.6298501509026
1465,-53.3669251358123
1466,-31.3302346339902
1477,-11.4972131823503
1485,-25.3475518641152
1489,-37.8128566777037
1491,-49.0316310099333
1523,-27.4284699206991
1527,-39.6856829286292
1552,-50.7171746357663
1568,-28.9454591839488
1569,-41.0509732655539
1584,-51.9459359389985
1588,-30.0513443568578
1604,-42.046269921172
1605,-21.1416449408139
1627,-2.32748245849157
1632,-17.0947942126424
1637,1.31468319686272
1640,17.8832128654173
1645,1.09483157887564
1648,17.685346409229
1660,32.616809756547
1668,46.0551267691332
1675,58.1496120804607
1682,69.0346488606556
1691,78.8311819628309
1695,87.6480617547887
1697,95.5832535675507
1699,102.724926199037
1702,109.152431567374
1709,114.937186398877
1718,120.14346574723
1728,124.829117160748
