Step,Value
18,14.6268
24,-1.83593999999999
40,-16.652406
42,1.71283258824093
45,-13.4585106705832
56,-27.1127196035249
71,-39.4015076431724
74,-50.4614168788551
94,-28.7152772027287
106,-9.13756247069679
126,-23.2238662236271
155,-35.9015396012644
158,-15.611387652897
167,-29.0503088876073
183,-41.1453379988466
185,-52.030864198962
229,-61.8278377790658
234,-38.9388669894001
249,-18.474951266942
255,-31.6275161402477
260,-43.464824526223
267,-54.1184020736007
273,-32.0065638779997
308,-12.1059095019588
310,-25.8953785517629
318,-38.3059006965867
339,-49.475370626928
347,-27.957804540717
367,-8.46202609840444
421,-22.615883488564
422,-35.3543551397076
439,-46.8189796257369
442,-57.1371416631632
445,-34.7172404850878
460,-46.245576436579
463,-56.6210787929211
464,-65.959030913629
474,-74.3631878222661
493,-81.9269290400395
514,-57.0342381477946
531,-34.760785309497
536,-46.2847667785473
563,-56.6563501006926
573,-34.2907171023824
579,-14.1616474039033
586,3.8245463600052
587,-11.5579682759953
620,-25.4022314483958
622,-6.29197928003802
634,-20.6628413520342
641,-33.5966172168308
642,-45.2370154951477
644,-55.713373945633
647,-65.1420965510697
649,-73.6279468959627
661,-81.2652122063664
671,-56.4325039739707
714,-65.7893135765736
722,-42.6403531953981
730,-53.3763778758583
739,-63.0388000882724
752,-71.7349800794452
756,-79.5615420715007
765,-86.6054478643506
769,-61.2387160661565
771,-38.5448154360226
773,-49.6903938924204
780,-28.0151674914193
785,-8.50746373051825
787,-22.6567773574664
792,-3.69110163347889
794,-18.322051470131
798,-31.4899063231179
802,-43.3409756908061
808,-54.0069381217255
809,-32.0362152860348
832,-43.8326537574313
836,-54.4494483816882
869,-32.3045055552785
876,-44.0741149997506
882,-54.6667634997756
896,-32.5000891615571
900,-44.2501402454014
907,-23.2550971973431
909,-4.2295894893679
917,-18.8066905404311
931,-0.226023498147072
932,-15.2034811483323
942,3.01686495474178
945,19.4213654710267
954,2.47916892392405
962,18.9374390432907
971,2.04363513896166
972,-13.1607883749345
978,-26.844769537441
979,-39.1603525836969
984,-50.2443773253273
1002,-28.5199416045537
1005,-40.6680074440983
1014,-19.9012087114476
1044,-32.9111478403028
1057,-44.6200930562725
1063,-55.1581437506453
1066,-64.6423893755808
1068,-73.1782104380227
1072,-80.8604493942204
1078,-56.2043754312802
1083,-65.5839978881522
1093,-74.025658099337
1099,-81.6231522894033
1104,-88.4608970604629
1114,-94.6148673544167
1156,-68.4471936072159
1160,-76.6025342464943
1161,-52.2360938100858
1162,-62.0125444290772
1180,-39.1112919979286
1193,-50.2002227981357
1206,-60.1802605183222
1232,-37.4560474547309
1244,-17.0104447210169
1255,-30.3094602489152
1258,-42.2785742240237
1261,-53.0507768016213
