Step,Value
18,-150.0059
24,-150.0059
40,-150.0059
42,-112.559458972104
45,-116.304103074894
56,-82.2278417395086
71,-89.0056475655578
74,-95.105672809002
94,-100.595695528102
106,-105.536715975292
126,-109.983634377762
155,-76.5394199120904
158,-83.8860679208813
167,-90.4980511287932
183,-96.4488360159139
185,-64.2039404282704
229,-72.7841363854434
234,-42.8983697329512
249,-16.008520773604
255,-29.4082586962436
260,-3.86007981267133
267,-18.4746618314042
273,-31.6277856482638
308,-5.85765406948951
310,17.3354643514073
318,0.601327916266598
339,22.9870461525357
347,5.68775153728214
367,-9.88161361644609
421,13.5523987730943
422,-2.80343110421509
439,-17.5236779937936
442,6.67454083348153
445,-8.99350324986662
460,-23.09474292488
463,-35.785858632392
464,-47.2078627691528
474,-20.0412254643418
493,-33.0376929179076
514,-44.7345136261169
531,-55.2616522635052
536,-64.7360770371547
563,-35.6551163194913
573,-9.64375365964642
579,-23.6799682936818
586,-36.3125614643136
587,-10.0812933318302
620,-24.0737539986471
622,-36.6669685987824
634,-48.0008617389042
641,-20.6007635789617
642,4.06666579288236
644,-11.3405907864059
647,12.4008213061826
649,33.7607511616164
661,52.8305270733506
671,32.5468843660155
714,14.291605929414
722,-2.13814466352741
730,-16.9249201971747
739,-30.2330181774572
752,-4.76386533181571
756,18.312533187418
765,39.0886328826241
769,57.6256206222574
771,74.3089095879275
773,51.8774286291347
780,31.6890957662213
785,13.5195961895991
787,-2.83295342936077
792,20.0503538996274
794,40.4911695375604
798,21.4414625838044
802,4.296726325424
808,-11.1335363071184
809,12.4256683514892
832,-3.81748848365973
836,-18.4363296352938
869,-31.5932866717644
876,-5.82660499064008
882,-20.2445344915761
896,-33.2206710424185
900,-7.29125092422873
907,16.045227182142
909,-0.559885536072159
917,22.0961150035871
931,42.4938565171763
932,23.2438808654587
942,43.3653438068086
945,61.6361624400756
954,78.079899210016
962,55.2713192890144
971,34.7435973601129
972,16.2686476241016
978,-0.358807138308492
979,22.2770855615744
984,42.6493889914691
1002,60.9844620783743
1005,77.3318668984327
1014,54.5980902085894
1044,71.7456342016783
1057,87.1784237954584
1063,63.4599914159126
1066,42.1134022743213
1068,22.9014720468892
1072,5.61073484220029
1078,-9.95092864201976
1083,13.6515172361301
1093,-2.71422448748291
1099,20.1645509752133
1104,40.7554488916398
1114,21.6793140024759
1156,4.51079260222832
1160,26.6597253280576
1161,8.99316279525181
1162,-6.90674348427339
1180,-21.2166591358461
1193,-34.0955832222615
1206,-45.6866149000353
1232,-56.1185434100318
1244,-65.5072790690287
1255,-73.9571411621258
1258,-43.9614150598611
1261,-54.565863553875
1281,-64.1098671984875
1287,-72.6994704786387
1294,-80.4301134307749
1300,-87.3876920876974
1316,-93.6495128789277
1319,-99.2851515910349
1330,-104.357226431931
1333,-108.922093788738
1336,-113.030474409864
1337,-116.728016968878
1385,-120.05580527199
1388,-85.4502127587391
1391,-91.9057814828651
1392,-97.7157933345786
1414,-65.3442020150687
1426,-73.8103718135618
1436,-81.4299246322056
1440,-50.686920182933
1465,-60.6188181646397
1466,-31.9569243621236
1477,-6.16121993985919
1485,-20.5456879458733
1489,-33.491709151286
1491,-7.54252625010525
1523,-21.7888636250947
1527,2.99003472346683
1552,25.2910432371722
1568,7.76134891345501
1569,-8.01537597789053
1584,15.3861736059506
1588,-1.15303375464441
1604,-16.03832037918
1605,-29.435078341262
1627,-3.89155852108374
1632,19.0976093170767
1637,39.7878603714212
1640,20.8084843342791
1645,3.72704590085115
1648,-11.646248689234
1660,12.1183881657415
1668,-4.09404065083262
1675,18.9153754003027
1682,2.02324786027245
1691,-13.1796669257548
1695,10.7383117528728
1697,-5.33610942241452
1699,-19.8030884801731
1702,4.77723235389635
1709,-10.7010808814933
1718,-24.631562793344
1728,0.43160547204252
1732,22.9884569108904
1734,5.68902121980136
1737,27.7201310838733
1742,9.94752797548597
1745,-6.04781482206263
1746,17.1569786461957
1766,0.440690781576166
1775,-14.6039682965815
1781,9.45644051912879
1788,-6.48979353278409
1789,-20.8414041795057
1798,3.84274822449697
1805,26.0584853880994
1826,46.0526488353415
1830,26.4467939518074
1840,8.80152455662665
1844,-7.079217899036
1853,16.2287158769197
1866,-0.394745710772241
1869,22.2447408463571
1875,42.6202787477735
1877,60.9582628590482
1911,77.4624485591955
1917,92.316215689328
1934,105.684606106447
1944,117.716157481855
1947,128.544553719721
1949,138.290110333801
1967,147.061111286473
1981,154.955012143878
1983,124.45892092949
2001,134.613040822593
2005,143.751748726386
2013,114.375983853747
2030,125.538397454425
2036,135.584569695034
2060,144.626124711583
2073,152.763524226477
2076,160.087183789881
2077,166.678477396945
2079,172.610641643303
2081,177.949589465025
2085,182.754642504574
2089,187.079190240169
2096,190.971283202204
2111,171.555564881984
2145,177.000020379837
2149,181.900030327906
2156,186.310039281167
2165,190.279047339103
2177,193.851154591245
2187,197.066051118172
2189,199.959457992407
2191,202.563524179218
2196,204.907183747349
2199,207.016477358666
2207,208.914841608851
2211,210.623369434018
2231,212.161044476669
2236,213.544952015054
2237,214.790468799601
2239,215.911433905693
2242,216.920302501175
2246,180.227682251058
2247,184.804926012004
2254,188.924445396856
2257,192.632012843222
2262,195.968823544952
2281,198.971953176509
2291,201.67476984491
2297,166.506702860419
2303,172.456044560429
2307,177.810452090439
2319,182.629418867447
2320,186.966488966754
2345,190.869852056131
2354,194.38287883657
2389,197.544602938965
2390,200.390154631121
2392,202.951151154061
2436,205.256048024707
2444,207.330455208288
2451,209.197421673511
2453,210.877691492212
2455,212.389934329043
2460,213.750952882191
2485,214.975869580024
2486,216.078294608074
