Step,Value
2013,-122.210622107982
2030,-125.989559897184
2036,-129.390603907466
2060,-132.451543516719
2073,-135.206389165047
2076,-137.685750248542
2077,-111.351575202326
2079,-116.216417682093
2081,-92.0291758925217
2085,-98.8262583032695
2089,-104.943632472943
2096,-110.449269225648
2111,-115.404342303084
2145,-119.863908072775
2149,-123.877517265498
2156,-127.489765538948
2165,-130.740788985053
2177,-133.666710086548
2187,-136.300039077893
2189,-138.670035170104
2191,-140.803031653093
2196,-142.722728487784
2199,-144.450455639006
2207,-146.005410075105
2211,-147.404869067595
2231,-148.664382160835
2236,-149.797943944752
2237,-150.818149550276
2239,-151.736334595249
2242,-152.562701135724
2246,-153.306431022152
2247,-153.975787919936
2254,-154.578209127943
2257,-155.120388215148
2262,-155.608349393634
2281,-156.04751445427
2291,-127.877162987481
2297,-131.089446688733
2303,-133.98050201986
2307,-136.582451817874
2319,-138.924206636086
2320,-141.031785972478
2345,-142.92860737523
2354,-144.635746637707
2389,-146.172171973936
2390,-147.554954776543
2392,-120.110659288207
2436,-124.099593359387
2444,-127.689634023448
2451,-130.920670621103
2453,-133.828603558993
2455,-136.445743203094
2460,-138.801168882784
2485,-112.355451973143
2486,-117.119906775829
2496,-92.8423160768839
2498,-99.5580844691955
2503,-77.0366760009136
2517,-85.3330084008223
2523,-92.7997075607401
2532,-99.5197368046661
2547,-105.567763124199
2551,-82.4453867904172
2553,-90.2008481113755
2578,-97.180763300238
2590,-103.462686970214
2600,-109.116418273193
2606,-114.204776445873
2623,-90.2186987799238
2629,-97.1968289019314
2630,-74.911545990376
2644,-54.8547913699761
2650,-65.3693122329785
2655,-74.8323810096806
2678,-54.7835428873503
2685,-65.3051885986152
2690,-46.0914697494349
2703,-57.4823227744914
2710,-67.7340904970423
2725,-76.9606814473381
2737,-85.2646133026043
2740,-64.1725519509815
2754,-73.7552967558834
2789,-82.379767080295
2790,-90.1417903722656
2791,-68.4444113457202
2809,-48.9167702218293
2824,-60.0250931996464
2872,-70.0225838796817
2881,-79.0203254917136
2890,-87.1182929425422
2896,-94.406463648288
2917,-100.965817283459
2919,-78.1804355444321
2920,-86.3623919899889
2967,-93.7261527909901
2975,-71.6647375012099
2998,-51.8094637404078
3007,-62.628517366367
3011,-72.3656656297303
3015,-81.1290990667573
3027,-89.0161891600816
3030,-96.1145702440734
3038,-73.8143132089849
3041,-82.4328818880864
3065,-90.1895936992778
3069,-68.4818343186689
3071,-48.9448508761208
3099,-60.0503657885087
3122,-70.0453292096579
3137,-79.0407962886921
3145,-87.1367166598229
3150,-94.4230449938406
3155,-100.980740494457
3161,-106.882666445011
3177,-112.19439980051
3195,-116.974959820459
3196,-121.277463838413
3203,-125.149717454572
3206,-128.634745709115
3230,-131.771271138203
3233,-134.594144024383
3240,-137.134729621944
3243,-139.42125665975
3244,-141.479130993775
3246,-143.331217894398
3247,-144.998096104958
3272,-146.498286494462
3281,-147.848457845016
3305,-149.063612060514
3313,-150.157250854463
3327,-151.141525769017
3328,-152.027373192115
3345,-152.824635872903
3374,-153.542172285613
3376,-154.187955057052
3386,-154.769159551347
3403,-155.292243596212
3408,-155.763019236591
3430,-156.186717312932
3438,-156.568045581639
3449,-156.911241023475
3451,-157.220116921127
3458,-157.498105229014
3464,-157.748294706113
3471,-157.973465235502
3477,-158.176118711952
3480,-158.358506840756
3497,-158.522656156681
3509,-158.670390541013
3512,-158.803351486911
3519,-158.92301633822
3535,-159.030714704398
3537,-159.127643233959
3543,-159.214878910563
3547,-159.293391019506
3563,-130.675251906875
3580,-133.607726716187
3600,-136.246954044568
3618,-138.622258640112
3620,-140.7600327761
3622,-142.68402949849
3625,-144.415626548641
3628,-117.285263883096
3645,-121.556737494786
3656,-125.401063745308
3670,-128.860957370777
3700,-131.974861633699
3702,-134.777375470329
3726,-108.610837912615
3730,-85.0609541106727
3732,-92.5548586996054
3738,-70.6105728189637
3741,-50.8607155263862
3743,-33.0858439630664
3752,-45.7772595667598
3759,-28.5107335994026
3772,-12.9764602501435
3780,0.886785796233127
3793,-15.2018927833902
3795,-1.11610348368886
3798,11.6843068753612
3814,23.2046761985062
3819,4.88420857865559
3821,-11.6042122792099
3831,-26.443791051289
3835,-11.1162119568412
3864,-26.0045907611571
3869,-39.4041316850414
3876,-51.4637185165372
3920,-33.7517466435212
3928,-17.8109719578068
3935,-32.0298747620261
3939,-44.8268872858235
3950,-27.7785985358788
3956,-41.0007386822909
3962,-52.9006648140619
3984,-63.6105983326557
3995,-44.6839384780278
4000,-56.215544630225
4009,-66.5939901672025
4010,-47.36899112912
4022,-30.0664919948456
4033,-43.0598427953611
4036,-54.753858515825
4046,-36.7128726428802
4093,-49.0415853785921
4098,-60.137426840733
4099,-70.1236841566597
4109,-79.1113157409937
4182,-58.634584145532
4193,-68.7711257309788
4194,-77.894013157881
4196,-57.5390118207306
4198,-67.7851106386575
4201,-77.0065995747918
4202,-85.3059396173126
4227,-92.7753456555814
4232,-70.9322110686609
4235,-51.2733899404325
4243,-62.1460509463893
4254,-71.9314458517504
4263,-80.7383012665753
4266,-88.6644711399178
4267,-67.2324240045637
4282,-76.5091816041074
4298,-84.8582634436966
4304,-63.6892371100082
4308,-73.3203133990073
4317,-81.9882820591066
4319,-89.789453853196
4328,-96.8105084678764
4332,-103.129457621089
4343,-80.2509118376176
4369,-59.6602206324935
4378,-69.6941985692441
4393,-78.7247787123197
4400,-86.8523008410878
4406,-65.6014707356167
4410,-75.041323662055
4411,-83.5371912958495
4430,-62.4946721555834
4433,-72.2452049400251
4469,-52.4550844246603
4475,-63.2095759821943
4490,-72.8886183839748
4492,-81.5997565455774
4509,-89.4397808910196
4510,-67.8070027912365
4529,-77.0263025121129
4530,-56.6348722502204
4533,-66.9713850251984
4542,-76.2742465226785
4553,-84.6468218704107
4578,-63.4933396726885
4581,-73.1440057054196
4592,-81.8296051348777
4595,-60.9578446107088
4597,-42.1732601389568
4599,-53.9559341250611
4611,-64.560340712555
4628,-74.1043066412995
4649,-82.6938759771696
4656,-90.4244883794526
4664,-97.3820395415073
4668,-75.0782355659943
4675,-54.8816119987137
4676,-65.3934507988424
4677,-46.2885056975958
4687,-57.6596551278362
4713,-39.2104896257338
4718,-51.2894406631604
4734,-62.1604965968444
4745,-43.2556469264788
4749,-54.9300822338309
4750,-36.753874021129
4758,-20.3896866083349
4764,-34.3507179475014
4767,-46.9156461527513
4776,-29.535281526795
4780,-14.0161533527532
4787,-28.6145380174779
4788,-13.0642842050489
4794,0.807744236818266
4800,-15.2730301868636
4802,-29.7457271681772
4805,-42.7711544513595
4840,-25.8108390169047
4852,-10.6641550938519
4871,-25.5977395844667
4873,-39.03796562602
4894,-51.134169063418
4914,-62.0207521570762
4938,-43.1298769306875
4941,-54.8168892376187
4954,-65.3352003138568
4962,-74.8016802824712
4971,-54.6383122649052
4974,-36.4912810490958
4976,-20.1589529548674
4977,-34.1430576593807
5021,-46.7287518934426
5027,-58.0558767040984
5030,-68.2502890336885
5037,-77.4252601303197
5050,-85.6827341172877
5052,-93.114460705559
5053,-99.8030146350031
5060,-77.2571131501405
5078,-85.5314018351264
5101,-92.9782616516138
5106,-99.6804354864524
5126,-105.712391937807
5128,-82.4579527547076
5134,-90.2121574792369
5160,-97.1909417313132
5165,-103.471847558182
5182,-109.124662802364
5200,-114.212196522127
5208,-90.1077768805957
5231,-97.0969991925362
5235,-103.387299273283
5239,-109.048569345954
5240,-114.143712411359
5266,-90.0405411595418
5289,-97.0364870435876
5318,-103.332838339229
5329,-108.999554505306
5345,-85.5339990334131
5359,-92.9805991300718
5360,-71.1169391957023
5380,-80.0052452761321
5404,-88.0047207485189
5420,-66.6386486523047
5439,-75.9747837870742
5442,-84.3773054083668
