Step,Value
1981,-150.994447787073
1983,-151.795063008366
2001,-152.515616707529
2005,-153.164115036776
2013,-153.747763533099
2030,-154.273047179789
2036,-154.74580246181
2060,-155.171282215629
2073,-155.554213994066
2076,-155.898852594659
2077,-156.209027335193
2079,-156.488184601674
2081,-156.739426141507
2085,-156.965543527356
2089,-157.16904917462
2096,-157.352204257158
2111,-157.517043831443
2145,-157.665399448298
2149,-157.798919503469
2156,-157.919087553122
2165,-158.02723879781
2177,-158.124574918029
2187,-158.212177426226
2189,-158.291019683603
2191,-158.361977715243
2196,-158.425839943719
2199,-158.483315949347
2207,-158.535044354412
2211,-158.581599918971
2231,-158.623499927074
2236,-158.661209934366
2237,-158.69514894093
2239,-158.725694046837
2242,-158.753184642153
2246,-158.777926177938
2247,-158.800193560144
2254,-158.82023420413
2257,-158.838270783717
2262,-158.854503705345
2281,-158.869113334811
2291,-158.88226200133
2297,-158.894095801197
2303,-158.904746221077
2307,-158.914331598969
2319,-158.922958439072
2320,-158.930722595165
2345,-158.937710335649
2354,-158.943999302084
2389,-158.949659371875
2390,-158.954753434688
2392,-158.959338091219
2436,-158.963464282097
2444,-158.967177853887
2451,-125.870131043841
2453,-129.183177939456
2455,-132.164920145511
2460,-101.748099106302
2485,-107.473349195671
2486,-112.626074276104
2496,-117.263526848494
2498,-88.1940871513154
2503,-62.1743494115256
2517,-71.8569744703731
2523,-47.4709479986776
2532,-58.6239131988098
2547,-68.6615818789288
2551,-44.5950946663777
2553,-56.03564519974
2578,-33.0889936674369
2590,-45.6801543006932
2600,-57.0121988706239
2606,-67.2110389835615
2623,-76.3899950852054
2629,-84.6510555766849
2630,-58.9856209943582
2644,-68.9871188949224
2650,-77.9884670054302
2655,-52.8465332925581
2678,-63.4619399633023
2685,-39.9154169423138
2690,-51.8239352480825
2703,-62.5416017232743
2710,-72.1875015509468
2725,-80.8688113958521
2737,-88.6819902562669
2740,-95.7138512306403
2754,-102.042526107576
2789,-74.4951864844896
2790,-82.9457278360406
2791,-90.5512150524366
2809,-97.3961535471929
2824,-103.556598192474
2872,-109.100998373226
2881,-114.090958535904
2890,-118.581922682313
2896,-122.623790414082
2917,-126.261471372674
2919,-129.535384235406
2920,-132.481905811866
2967,-135.133775230679
2975,-137.520457707611
2998,-139.66847193685
3007,-141.601684743165
3011,-143.341576268849
3015,-144.907478641964
3027,-146.316790777767
3030,-147.585171699991
3038,-148.726714529992
3041,-149.754103076992
3065,-150.678752769293
3069,-151.510937492364
3071,-152.259903743128
3099,-152.933973368815
3122,-153.540636031933
3137,-154.08663242874
3145,-154.578029185866
3150,-155.020286267279
3155,-155.418317640552
3161,-155.776545876496
3177,-156.098951288847
3195,-156.389116159962
3196,-156.650264543966
3203,-156.885298089569
3206,-157.096828280612
3230,-157.287205452551
3233,-157.458544907296
3240,-124.512361391908
3243,-127.961185252717
3244,-131.065126727446
3246,-133.858674054701
3247,-136.372866649231
3272,-138.635639984308
3281,-140.672135985877
3305,-142.504982387289
3313,-110.91788616089
3327,-115.726157544801
3328,-120.053601790321
3345,-123.948301611289
3374,-127.45353145016
3376,-130.608238305144
3386,-133.447474474629
3403,-136.002787027166
3408,-138.30256832445
3430,-140.372371492005
3438,-109.134805318146
3449,-80.8847267986606
3451,-55.4531671064655
3458,-32.7075213711607
3464,-45.3368292340447
3471,-56.7032063106402
3477,-33.6897986672471
3480,-12.9842208128515
3497,5.65728828076274
3509,22.2918884773447
3512,4.16263962961023
3519,-12.1536843333508
3535,-26.8383759000157
3537,-40.0545983100142
3543,-51.9491984790128
3547,-29.5539496064533
3563,-9.2554676334789
3580,-24.229980870131
3600,-37.7070427831179
3618,-49.8363985048061
3620,-27.5096716419964
3622,-40.6587644777968
3625,-19.3925590053589
3628,-33.353363104823
3645,-45.9180867943407
3656,-57.2263381149067
3670,-67.403764303416
3700,-76.5634478730744
3702,-84.807163085767
3726,-58.9898487895194
3730,-68.9909239105674
3732,-77.9918915195107
3738,-86.0927623675596
3741,-93.3835461308037
3743,-99.9452515177233
3752,-105.850786365951
3759,-111.165767729356
3772,-115.94925095642
3780,-87.0177278731074
3793,-94.2160150857967
3795,-100.694473577217
3798,-106.525086219495
3814,-78.5359796098749
3819,-86.5824416488874
3821,-93.8242574839987
3831,-100.341891735599
3835,-106.207762562039
3864,-111.487046305835
3869,-116.238401675252
3876,-120.514621507726
3920,-124.363219356954
3928,-94.5902994335875
3935,-67.7946715025579
3939,-76.9152643523021
3950,-85.1237979170719
3956,-92.5114781253647
3962,-99.1603903128282
3984,-71.9012642692163
3995,-80.6111978422947
4000,-88.4501380580652
4009,-62.2685262645878
4010,-71.941733638129
4022,-80.6476202743161
4033,-88.4829182468845
4036,-95.5346864221961
4046,-101.881277779976
4093,-107.593210001979
4098,-79.49729101411
4099,-87.447621912699
4109,-61.3662617337583
4182,-71.1296955603825
4193,-79.9167860043442
4194,-54.5885094162389
4196,-65.029718474615
4198,-74.4268066271535
4201,-49.6475279767673
4202,-60.5828351790905
4227,-70.4246116611815
4232,-79.2822104950633
4235,-87.254049445557
4243,-61.3283154763431
4254,-71.0955439287088
4263,-79.8860495358379
4266,-87.7975045822542
4267,-61.8174250993706
4282,-71.5357425894335
4298,-80.2822283304902
4304,-88.1540654974412
4308,-62.1383299230389
4317,-38.7241679060768
4319,-50.7518111154691
4328,-61.5766900039222
4332,-71.31908100353
4343,-80.087232903177
4369,-87.9785696128593
4378,-95.0807726515734
4393,-101.472755386416
4400,-107.225539847774
4406,-79.3026568383388
4410,-54.1720621298468
4411,-31.5545268922039
4430,-11.0559871906544
4433,-25.850448471589
4469,-39.1654636244301
4475,-18.0485882373289
4490,-32.143789413596
4492,-44.8294704722364
4509,-56.2465834250128
4510,-66.5219850825115
4529,-75.7698465742604
4530,-84.0929219168343
4533,-91.5836897251509
4542,-65.2249917279776
4553,-41.5021635305217
4578,-20.1516181528113
4581,-34.0365163375302
4592,-13.432535679119
4595,-27.9893421112071
4597,-7.9900788754282
4599,10.0092580367728
4611,-6.89172776690447
4628,-22.102614990214
4649,-2.69202446653446
4656,14.7775070047772
4664,-2.60030369570052
4668,-18.2403333261305
4675,0.78402903114079
4676,-15.1944338719733
4677,-29.5750504847759
4687,-42.5176054362984
4713,-54.1659048926686
4718,-31.5489853787435
4734,-44.2941468408692
4745,-55.7647921567823
4749,-32.9879839164459
4750,-45.5892455248013
4758,-56.9303809723212
4764,-67.1374028750891
4767,-76.3237225875802
4776,-51.491021304164
4780,-29.1415901490894
4787,-42.1274911341804
4788,-20.7144129961042
4794,-34.5430316964938
4800,-46.9887885268444
4802,-58.18996967416
4805,-35.1706436820858
4840,-47.5536393138772
4852,-25.5979463578313
4871,-38.9382117220482
4873,-17.8440615251852
4894,-31.9597153726667
4914,-44.6638038354
4938,-22.9970944272018
4941,-3.49705595982348
4954,-19.0474103638411
4962,-33.042729327457
4971,-12.5381273700531
4974,-27.1843746330478
4976,-40.365997169743
4977,-52.2294574527687
5021,-29.8061826828337
5027,-9.62523538989214
5030,-24.5627718509029
5037,-4.90616564115444
5050,-20.315609077039
5052,-34.1841081693351
5053,-46.6657573524016
5060,-24.7988525925033
5078,-38.2190273332529
5101,-17.1967955752695
5106,-31.3771760177425
5126,-11.0391293913101
5128,7.2651125724791
5134,23.7389303398894
5160,38.5653663305586
5165,18.8087696975028
5182,1.02783272775253
5200,18.1253784796355
5208,33.5131696563301
5231,14.2617926906971
5235,-3.06444657837261
5239,14.4423271041228
5240,-2.90196560628945
5266,14.5885599789977
5289,30.3300330057561
5318,44.4973587298387
5329,57.247951881513
5345,35.6230966933617
5359,16.1607270240256
5360,31.7449833462812
5380,45.7708140363113
5404,58.3940616573383
5420,69.7549845162627
5439,79.9798150892946
5442,89.1821626050234
5447,97.4642753691792
5484,104.91817685692
5491,111.626688195886
5495,117.664348400955
5501,123.098242585518
5507,127.988747351624
5512,132.39020164112
5515,136.351510501666
5517,139.916688476158
5541,143.1253486532
5549,146.013142812538
5566,148.612157555943
5571,150.951270825007
5573,119.956083742506
5585,125.160804392914
5587,129.845052978281
5593,100.960487680452
5605,108.064767937065
5610,114.458620168017
5620,120.213087175874
5630,125.392107482944
5658,130.053225759308
5660,134.248232208036
5664,138.02373801189
5679,141.421693235359
5720,144.479852936482
5723,147.232196667492
5741,149.709306025401
5759,151.938704447519
5776,153.945163027425
5779,155.750975749341
5784,157.376207199065
5789,158.838915503817
5807,160.155352978093
5808,161.340146704942
5825,162.406461059106
5828,163.366143977854
5835,164.229858604727
5862,165.007201768912
5864,165.706810616679
5871,166.336458579669
5889,166.903141746361
5898,167.413156596383
5907,167.872169961403
5917,168.285281989921
5928,168.657082815587
5932,168.991703558686
5933,169.292862227476
5952,169.563905029386
5957,169.807843551106
5959,170.027388220654
5963,170.224978423246
5972,170.40280960558
5990,170.56285766968
6010,170.70690092737
6015,170.836539859292
6024,170.953214898021
6030,171.058222432877
6031,171.152729214247
6035,171.237785317481
6038,171.314335810391
6060,171.38323125401
6078,171.445237153267
6082,171.501042462599
6087,171.551267240997
6103,171.596469541555
6105,171.637151612058
6115,171.673765475511
6121,171.706717952618
6123,171.736375182014
6129,171.763066688471
6131,171.787089044282
6133,171.808709164512
6145,171.828167272719
6147,171.845679570105
6149,171.861440637753
6172,171.875625598636
6181,171.88839206343
6184,171.899881881746
6200,171.910222718229
6211,171.919529471065
6213,171.927905548616
6219,171.935444018413
